speaker,text,target,sentiment,category,summary
남희두,"평창올림픽 직전에 신천에 있었거든요. 그때 이제 연락을 주고 받고 있었는데, 막 만나지도 못하는 상황인데?",이나연,neutral,event,평창 올림픽 직전 신천에 있을 때 이나연과 연락을 주고받았지만 만나지 못했던 상황을 언급하며 과거를 회상하고 있다.
이나연,"계속 연락하고 전화하고 그래서 썸을 조금 길게 탔어요. 한 달 넘게? 저 끝나고 서울 가서 보자 그 약속을 미리 잡고, 서울 가성파점 회색 코트를 입고 들어왔어요. 멀리서 너무 잘생긴 거예요.",None,positive,attention,썸을 타던 상대방의 외모에 대한 긍정적 감정 표현.
이나연,"만나자마자 아, 내 남자다.",None,positive,attention,상대방에 대한 강한 호감을 표현하는 발언
이나연,멋있네. 그러고 만났죠.,None,positive,칭찬,상대방의 외모에 대한 칭찬
이나연,처음엔 제가 선배니까 존댓말을 했어요. 존댓말을 하다가 자기 마음대로 반말을 하다가 자기 마음대로 '나연아'라고 부르더라고요. 내가 그릇도 실치 나왔어.,남희두,negative,불만,"상대방이 존댓말과 반말을 섞어 쓰고, 자신을 함부로 대하는 것에 대한 불만을 표현함."
이나연,그게 또 사람들이 말하는 연하의 매력이 뭔지 좀 느끼게 해주더라고요. 맨날 밥 먹었어 나연아? 이러면 고래 나연이래 어린 게 이런 설렘?,남희두,positive,attention,남희두의 행동에서 연하의 매력을 느끼고 설렘을 표현함.
남희두,제일 기억에 남는 건 일단 의란미 갔던 그게 제일 기억에 남아요. 그때 좀 진짜 행복했을 것 같아요.,None,positive,emotion_polarity,의란미에 갔을 때 행복했다고 말함.
이나연,"진짜 너무 좋았어요. 같이 불꽃리를 하는 걸 찍으면서 담기는 목소리가 너무 행복한 거예요. 뭐 휘청거리나? 다 귀엽더라고요. 코를 파도 귀엽고, 밥 먹다가 위에 뭐가 껴도 귀엽고, 그래서 뭘 해도 좋은 사람이 이거구나 알게 해준 느낌이에요.",남희두,positive,affection,"불꽃놀이 영상을 찍으면서 남희두의 모든 모습이 귀엽고 좋았다는 감정을 표현하며, 남희두가 자신에게 '뭘 해도 좋은 사람'이라는 느낌을 준다고 말함."
남희두,"제가 기분이 안 좋은 날에도 나연이를 보면 저까지 기분이 좋아지는 워낙 또 사람이 밝고, 그래서 제가 어둡다가도 같이 있으면 밝아지는 느낌이에요. 큰일 났다 이 시각 세계였습니다. 눈 떠봐, 제가 시합할 때 항상 보러 왔었어요. 라이언이 올 때 거의 이겼던 것 같아요.",이나연,positive,affection,이나연을 보면 기분이 좋아지고 밝아지는 느낌이라고 말하며 호감을 표현함. 시합 때 보러 와줬던 기억을 떠올림.
남희두,자기 속녀죠.,None,neutral,relationship,남희두가 누군가를 '자기 속녀'라고 칭함.
이나연,ㅎㅎㅎㅎㅎ 하여튼 그게 전부인 줄 알았어요. 행복했어.,None,positive,emotion_polarity,행복했다는 감정을 드러냄.
이나연,진짜 큰일났다. 무섭더라고요. 내가 이렇게 좋아했어요? 너무 멋있으니까 진짜 무서웠어요. 제 마음이.,남희두,positive,emotion_polarity,자신이 상대를 좋아하는 마음에 대해 긍정적인 감정을 드러내고 있다.
남희두,"그리고, 아, 이 사람이 되게 나한테 힘이 되고 뭔가 기댈 수 있는 사람이구나 라는 걸 느낀 때가 있었는데, 제가 다쳤어가지고 병원을 같이 가게 됐어요. 국제 대회를 큰 대회를 나가는 시기였어서 그런 식의 다치고 갑자기 수술해야 된다는 말 들었을 때 너무 좌절감이 큰 거예요. 그래서 저도 모르게 눈물이 좀 많이 갔는데, 말없이 안아주는 거예요. 그때 제가 나연이 앞에서 처음 울었던 것 같아요.",이나연,positive,attention,이나연에게 위로받고 의지하게 된 계기를 설명하며 긍정적 감정을 드러냄. 다쳤을 때 이나연이 말없이 안아준 것에 감동받음.
이나연,뭔가 슬펐어요 애기처럼 우니까 애가 그리고 희두가 슬프면 정말 진심으로 같이 눈물이 막 나고 막 그랬어요.,남희두,negative,emotion_expression,남희두가 슬퍼하는 모습에 함께 슬픔을 느꼈다는 발언
이나연,되게 가족만큼 사랑했던 것 같아요.,None,positive,attention,가족만큼 누군가를 사랑했다는 감정을 표현함.
남희두,"전 거의 가족이라고 생각했어요. 가족같이 가까운 사이 없고, 가족처럼 믿을 수 있는 사이 그만큼 마음 연거는 처음이자 마지막이었죠.",None,negative,attention,가족같이 믿었던 대상과의 관계가 단절된 것에 대한 상실감과 슬픔을 표현하고 있다.
이나연,"야, 밥 오랜만에 먹는다.",None,neutral,daily,오랜만에 밥을 함께 먹는 상황에 대한 언급
이나연,"빠져보고 아, 어색해.",None,negative,attention,어색함을 느껴 부정적인 감정을 드러냄.
이나연,그건 뭐..,,neutral,none,상대방의 말에 대한 반응.
이나연,뭐.. 다른 사람은 안 만났나?,None,neutral,attention,다른 사람을 만났는지 묻는 질문
남희두,"너? 응, 너랑 헤어졌다고 말했지.",None,negative,attention,전 연인(X)에 대한 언급을 통해 부정적인 감정을 드러냄.
이나연,음.,None,neutral,none,단순 응답
남희두,"자연스럽게 다 알게 됐지, 그래서 소개팅도 들어오고 했어?",None,neutral,information_seeking,소개팅 경험에 대한 질문
남희두,음.,None,neutral,response,남희두의 단답형 응답.
남희두,"야, 나는 근데 좀 바빴어.",None,neutral,statement,바빴다는 사실을 전달함
이나연,뭔가...,None,neutral,none,감정을 표현하기 전 망설이는 중립적인 발언
남희두,누구를 또 만나고 그럴 여유가 없었어. 바빠서.,None,negative,self_description,바쁜 일상으로 인해 다른 사람을 만날 여유가 없었음을 토로함.
이나연,"진짜 자상한 사람이에요. 행동으로 자상한데 만나면? 뭐 또 저를 혼내요. 그러면 데리러 와가지고 또 싸우고, 왜 이렇게 늦게 와라던지? 오늘은 이게 뭐냐? 이게 뭐냐?",남희두,복합적,관계,상대방의 자상함과 비난적인 태도가 공존하는 것에 대한 복잡한 감정을 드러냄.
남희두,"데이트하러 출발하다가 차 안에서 싸워서 그냥 내내 싸우다 집에 간 적도 있고, 제 생일날 애도 사우조 배고파서 갔는데요, 서로 아 맛있겠다 이러고 있다가 시켜서 이런 음식 나오는데 과자냐? 시청해주셔서 감사합니다. 이 기분으로 뭘.. 알겠어, 여러분 가자.",None,negative,conflict,과거 데이트 중 싸웠던 경험과 생일에 사우주에서 있었던 불만족스러운 경험을 이야기하며 부정적인 감정을 드러냄.
이나연,그 남양주 쪽 카페에 가서 주문하다가 싸워가지고 개인 플레이 따로 앉아가지고 따라온다!,남희두,negative,attention,남양주 카페에서 싸운 경험을 언급하며 갈등 상황을 설명함
이나연,"어느 순간 희조를 내가 진짜 사랑했던 건 알겠는데, 내가 좋아했던 사람이었는데 과연 나한테 좋은 영향을 끼치는 사람이었을까? 이런 걸 생각하게 되더라고요.",,negative,attention,과거 연애를 회상하며 상대방이 자신에게 긍정적인 영향을 주었는지에 대한 의문을 제기하고 있다.
남희두,"되게 서로 감정이 너무 상하고, 더 이상 노력하고 싶지 않다는 생각이 들었어요.",None,negative,갈등,서로 감정이 상하고 더 이상 노력하고 싶지 않다는 감정을 표현함.
이나연,아예 저라는 사람을 좀 안 좋게 보는 느낌이었어요. 너는 나라는 사람이 있는 그대로 좋아질 수 없냐?,None,negative,attention,"자신에 대한 상대방의 부정적인 시선에 대한 서운함을 표현하며, 있는 그대로의 자신을 좋아해 줄 수 없는지에 대한 질문을 통해 답답함을 드러내고 있다."
남희두,포기를 해야 되는데 이게 자꾸 신경이 쓰이더라고요.,None,negative,attention,"포기해야 하지만 계속 신경 쓰인다는 발언은 미련이나 아쉬움을 드러내는 것으로, 부정적인 감정을 내포한다."
이나연,한 번은 비오는 날 우산 쓰고 엄청 싸웠는데 우산은 끝까지 씌워주더라구요.,남희두,negative,attention,과거 연인과의 다툼을 회상하며 좋지 않았던 감정을 드러냄.
이나연,제 쪽으로 약간 그러네요. 엄청 알 수 없지 않아요? 이 게시물이 나쁜 건지 착한 건지 알 수 없는 약간 비참한 듯해.,None,negative,attention,게시물의 의도를 파악하기 어려워 혼란스러워하며 약간 비참한 감정을 느낌.
남희두,왜?,,neutral,question,상대방에게 이유를 묻는 질문
이나연,"네가 날 싫어하는 것 같아서, 난 널 싫어하는 게 아니야.",None,negative,갈등,상대방이 자신을 싫어한다고 오해하는 것에 대한 해명과 감정 표현.
남희두,난 그 상황이 진짜 싫었던 거지.,None,negative,attention,과거 특정 상황에 대한 부정적인 감정을 표현함.
남희두,뭔가 음.,None,neutral,none,남희두의 중립적인 발언
이나연,"자꾸 너가 그 상황을 계속 만들고 싶어 하는 것 같아서, 마지막 헤어진 거는 크리스마스도 앞두고 그래서 그냥 그 기념으로 여행을 가기로 했어요. 차에서 여행지를 막 정하는데, 네이비를 쳤어요.",남희두,negative,attention,남희두와 헤어지기 전 크리스마스 여행 계획을 세웠던 상황을 언급하며 부정적인 감정을 드러냄.
남희두,거의 3시간 넘게 걸리는 거예요.,,neutral,information,이동 시간을 언급하는 발언
이나연,"히두가 근데 거기 멀지 않아? 이래가지고 3시간이 얼마 안 걸린다는 게 아니라 다른 데랑 비슷하다. 다른 데보다 멀지 않다라는 뜻에서 얼마 안 걸리네 했는데, 걔는 이게 얼마 안 걸려?",남희두,negative,attention,남희두의 말에 대한 오해를 언급하며 답답함을 표현.
남희두,"이러면서 그날 따라 왜 이러는지 모르겠는데, 내가 운전하고 그래도 먼 거리인데 먹은 거 아니야 이런 식으로 얘기를 하다가, 그게 싸움이 시작된 거야. 진짜 아무것도 아닙니다.",None,negative,갈등,운전 중 먹는 문제로 싸움이 시작됨.
이나연,그 막판에는 그냥 온통 희두가 저를 싫어한다는 느낌밖에 못 받았어요. 그냥 계속 마음속에 이렇게 싫어하는 날 왜 만나지? 이런 생각뿐이었거든요. 너 내가 생각하고 말하라 했지? 이러는 거예요.,남희두,negative,attention,"남희두가 자신을 싫어한다고 느꼈던 경험에 대해 이야기하며, 당시 남희두의 말투와 행동에서 받은 부정적인 감정을 표현하고 있다."
남희두,너 그냥 그런 사람이야. 그냥. 우리 안 맞는 거야.,None,negative,갈등,상대방에 대한 부정적인 감정을 드러내며 관계의 부적합성을 언급하는 발언
남희두,배려심이니 없는 친구도 아닌데 그런 말을 하니까 근데 그게 100% 진심이 아닐 거란 말이야.,None,negative,갈등,상대방의 말에 대한 불신과 부정적인 감정을 드러냄.
이나연,"또 똑같이 반복이 될 거니까, 그러면 다시는 만나고 싶지 않아요.",None,negative,rejection,과거의 부정적인 경험 반복에 대한 거부 의사 표명
이나연,너 지금 난 미워?,None,negative,emotion_polarity,화자는 상대방이 자신을 미워하는지 질문하며 불안감을 드러내고 있다.
남희두,아님?,,neutral,question,상대방의 의견을 묻는 질문
이나연,궁금해. 아무 감정 없어?,None,neutral,question,상대방의 감정에 대해 질문하는 발언
남희두,네.,,neutral,response,상대방의 발화에 대한 단순 응답
남희두,미워 했었지 미워했었는데 약간 헤어졌어도 어차피 사람이 헤어지면 남이 되는 거잖아. 남이 되는데?,None,negative,attention,헤어진 후 남이 되는 것에 대한 생각과 미움의 감정을 드러냄.
남희두,남이어도 미워하고 싶지 않은 느낌이에요.,이나연,negative,emotion_polarity,남희두가 이나연에 대해 미워하고 싶지 않다는 감정을 표현함.
이나연,"흐음, 밉지 않은 남고맙다.",남희두,positive,gratitude,고마움을 표현함
남희두,안 미워해져서 솔직히 미워하고 싶은 사람은 아니지 그래.,None,negative,갈등,미워하고 싶지만 미워할 수 없는 대상에 대한 복잡한 감정을 드러냄.
이나연,너가 이제 나 안 미워해서 다행이다.,None,positive,comfort,상대방을 안심시키는 발언
이나연,들어가서 재밌게 상처받지 않고 지냈으면 좋겠다.,None,positive,wish,다른 출연자들이 상처받지 않고 즐겁게 지내기를 바라는 마음을 표현함.
남희두,"울지 않고, 아, 웃기게, 너 오늘 보니까 반가워 반가운데 반가움에 속지 않을 거야.",이나연,positive,attention,"오늘 이나연을 다시 보게 되어 반가움을 표현했지만, 감정에 휘둘리지 않겠다는 의지를 드러냄."
남희두,"너도 그렇고 나도 그렇고, 그럼..",None,neutral,uncertainty,대화의 불확실성을 표현하는 중립적인 발언
남희두,하고 싶은 대로 존중할게.,None,positive,support,상대방의 의견을 존중하겠다는 발언
이나연,즐겁게 읽어볼게요.,,positive,None,상대방에게 긍정적인 반응을 보임.
이나연,"표정! 어허, 나연이는 착한 사람이 가질 수 있는 모든 좋은 점을 다 갖고 있어요. 나연이와는 좋은 추억도 많지만, 사소한 걸로 쌓은 기억이 많아서, 제가 더 많이 이해해주지 못해 아쉬움이 남습니다.",이나연,positive,칭찬,"이나연은 착한 사람이 가질 수 있는 모든 좋은 점을 다 갖고 있고, 좋은 추억이 많지만 더 이해해주지 못해 아쉬움이 남는다고 말함."
이나연,"서로 안 좋은 얘기하고 비난하고 미워하기 바빴는데, 나를 좋은 사람으로 기억했구나를 새삼 느꼈어요.",None,negative,emotion_polarity,"과거 관계에서 부정적인 감정을 느꼈으나, 상대방이 자신을 좋게 기억한다는 사실에 새로운 감정을 느낌."
이나연,한 6번 정도 봤거든요.,None,neutral,attention,상대방을 여러 번 만났음을 언급하고 있다.
이나연,계속 볼 때마다 눈물 시청해주셔서 감사합니다.,None,positive,gratitude,시청자들에게 감사 인사를 전하고 있다.
이나연,"X가 뭘 잘못 먹었는지 저한테 엄청 호의적인 거예요. 기대가 되나? 아무튼, 저한테 자기랑 데이트 뭐 하고 싶냐고 하겠다고 한 적도 없는데, 감사합니다. 얘가 왜 이러지?",None,positive,attention,"X에 대한 호감과 기대감을 드러내며, 감사 인사를 표현함."
이나연,나는 새로운 사람한테 마음이 간다.,None,negative,attention,새로운 사람에게 마음이 간다고 말하며 불안감을 드러냄.
이나연,조금 편했어요. 저는. 누군가를 알아갈 때 눈치를 안 보고 알아갈 수 있으니까 이제는 좀 더 다정한 사람을 만나고 싶다는 마음이 컸어요. 되게 부드러운 그런 매력이 있어요. 부드럽게 저를 되게 귀여워해주시고 챙겨주시고 그래서 사랑받는 느낌이 저는 좀 들었어요. 만약에 X가 있었으면 쉽게 다가가지 못했을 것 같아요.,None,positive,관계,"새로운 사람을 알아가는 과정에서 편안함을 느끼고, 다정하고 부드러운 매력에 호감을 느낌. X의 존재가 없었기에 가능했던 감정."
이나연,조금만 더 늦게 와도 괜찮겠다. 데이트 상도 데려왔어요. 제가 지금.,None,negative,attention,질투심과 불쾌감을 드러내며 비꼬는 말투로 발언함.
이나연,남자가 왔어요?,,neutral,question,남자가 왔는지 묻는 질문
이나연,남자가 왔다고요? 제가 전 2층에 있었거든요. 새로운 분이 오셨다고 인사를 하래가지고 갑자기 이 시간에?,,중립,상황 설명,새로운 남성 출연자의 등장에 대한 놀라움과 상황에 대한 설명.
이나연,나의 데이트 상대 빨리 반겨줘야겠다 하고 내려갔죠.,None,positive,attention,"자신의 데이트 상대를 긍정적으로 언급하며, 그를 맞이하러 가는 설렘을 표현함."
이나연,둘이 왜 같이 오지?,None,궁금,attention,다른 출연자들의 관계에 대한 궁금증을 드러냄.
이나연,뭐지?,,neutral,none,화자는 상황을 파악하려 하고 있다.
이나연,성함이 어떻게 되세요?,None,neutral,question,자신의 이름을 묻는 질문
남희두,나는 힛.,None,neutral,self_introduction,남희두가 자신을 소개함
이나연,히..,None,None,Unclassified,감정을 표현하는 감탄사
남희두,히트!,,neutral,None,감정이나 관계에 대한 직접적인 정보가 없는 단순한 감탄사.
이나연,저 쳐다도 안 보더라고요.,None,negative,attention,상대방이 자신을 쳐다보지 않는 것에 대한 부정적인 감정을 드러냄.
이나연,아 이런 거였구나. 그동안 다들 이랬는데 나만 즐거웠구나.,None,negative,emotion_polarity,자신만 즐거웠다는 사실에 대한 충격을 드러냄.
이나연,왜냐면 오자마자 감정이 안 좋더라고요.,None,negative,emotion_polarity,감정이 안 좋았다는 부정적인 감정을 드러냄.
남희두,이게 모르는 사람은 어떻게 느낄지 모르는데 아무튼 저는 알잖아요.,None,neutral,unclassified,자신과 관련된 어떤 사실을 상대방이 알고 있다는 점을 언급하며 대화를 이어가고 있다.
남희두,처음 들어서 그냥 깜짝 놀라는 것 같은데 기분 안 좋아하는 거 같이 보였어요.,None,negative,emotion_polarity,상대방의 기분이 안 좋아 보였다고 언급하며 부정적인 감정을 표현함.
남희두,저 새의 눈은?,None,neutral,question,새의 눈에 대해 질문하는 발언
남희두,아.. 뭐.. 뭐.. 고맙습니다. 아 뭐.. 뭐.. 뭐 끊을 뻔 했더니..,None,positive,gratitude,"상대방에게 고마움을 표현하며, 통화 연결에 대한 안도감을 드러냄."
이나연,저를 너무 홀대하시더라고요.,None,negative,불만,상대방이 자신을 홀대한다고 느끼며 불만을 표현함.
이나연,너무해요. 어떻게 저를 그렇게 나 걱정해가지고 나간건데 아무도 없..,None,negative,불만,자신을 걱정해서 나간 사람에 대한 서운함과 불만을 표현.
남희두,있으니까 그렇게 좀 편하게 들어오지 않았을까요? 이거 누가 보면 어떡하자는 생각이 그랬던 것 같아요.,None,negative,불안,누가 볼까 봐 불안해하는 감정을 드러냄.
이나연,"나? 나도 잘 타 오 둘이 같이 잘 탔네? 아, 근데 손잡고 탄 거 아니야? 손잡고 탔다고? 손잡고 탔다고? 아니, 끌어줬어. 으음, 너무 아파.",남희두,negative,attention,"남희두와 다른 여자가 스노보드를 같이 탄 상황에 대해 질투심과 불편함을 드러내며, 신체적 고통을 호소하고 있다."
이나연,응. 서로 X랑 베이킹했네요? 그러네요.,None,neutral,attention,상대방의 X와 베이킹을 같이 했다는 사실을 언급하며 관심을 표현함.
이나연,하필 왜 서로 둘이 눈물..,None,negative,emotion_polarity,눈물을 보이는 상황에 대한 부정적인 감정을 드러냄
이나연,"야옹, 엄청난 데이트를 하셨더라고요.",None,negative,attention,다른 사람의 데이트에 대한 질투를 드러내는 발언
이나연,"롯데월드 전체 대관을 해서 나도 롯데월드 가고 싶다고 했는데, 저는 X랑 4년 가까이를 만나면서 스케이트장을 딱 한 번밖에 안 가봤어요.",,negative,attention,전 연인(X)과의 과거를 회상하며 아쉬움을 표현하고 있다.
이나연,"자기는 일할 때도 맨날 스케이트를 신기 때문에 저랑 놀 때도 스케이트를 신고 싶지 않다고 말했거든요. 이렇게 서운해해서 싸우기도 했었는데, 근데 그거 듣고 저 진짜 눈물이 막 헛또 눈물..",남희두,negative,attention,남희두가 스케이트를 싫어하는 것 때문에 서운함을 느껴 눈물을 흘렸다고 언급하며 부정적인 감정을 드러냄.
이나연,질투나서요.,None,negative,emotion_polarity,질투를 느낌
이나연,"나랑은 절대 안 가더니 너무 질투나고 너무 서운하고, 사실 저는 데이트를 즐겁게 하고 왔잖아요.",남희두,negative,jealousy and resentment,"The speaker expresses jealousy and disappointment because someone else went on a date while she was excluded, despite having enjoyed her own date."
이나연,이런 감정이 드는 게 맞나 싶더라고요.,,negative,emotion_polarity,"화자는 현재 느끼는 감정에 대해 혼란스러워하고 있으며, 이는 부정적인 감정으로 해석될 수 있다."
이나연,현감이야? 문자 오늘 보냈어 언니? 문자 보냈어 근데 있을 때 보내라고 오지 않았어?,None,neutral,question,"상대방에게 문자를 보냈는지 묻고, 문자를 보낼 시점을 언급하며 확인하는 발언."
이나연,서로 보냈어.,None,neutral,relationship,서로에게 메시지를 보냈다는 진술.
이나연,추억드려요.,None,neutral,None,특별한 감정이나 의도가 드러나지 않는 평범한 발언
이나연,저한테 자랑하시더라고요.,None,neutral,none,상대방이 화자에게 자랑했다는 간접적인 언급이 있습니다.
이나연,회원님이 그리고 서로를 마주보며 그걸 확인했다고 새로운 사람을 만나서 설레고 서로에게 호감도 분명 있었을 텐데. 그 상황에서 서로를 마주보며 속마음 문자를 보내고 속마음을 확인한다? 가까워지기에는 너무나 좋은 환경이죠.,None,positive,attention,새로운 사람과의 관계에서 호감을 느끼고 가까워지는 상황에 대한 긍정적 언급
이나연,실제로는 많이 가까워진 것 같더라.,None,neutral,observation,화자는 대상 간의 관계 변화를 인지하고 관찰하고 있다.
이나연,근데 참 그 장면이 상상이 가는 거예요. 근데 저는 한 번 갔다 했잖아요. 그때가 정말 좋은 기억이었어요. 거의 저를 운전했거든요. 뒤에서 막 이렇게 태워주고 끌어주고 근데 들어보니까 그걸 그대로 해드린 것 같더라고요.,None,positive,attention,"과거 회상에서 긍정적인 감정을 드러내며, 특정 인물이 자신에게 했던 행동을 다른 사람에게 똑같이 했다는 사실을 언급하며 관심을 표현하고 있다."
이나연,뭐 우리 밖에 없고 즐겁고 스케이트 해서 로맨틱하고 재밌고 룸메이트니까 더 전 솔직히 질투를 느꼈거든요. 혜연 언니한테 그거 자체도 감정이 조금 힘들었고 감사합니다. 계속 봐야 돼.,None,mixed,jealousy and gratitude,"이나연은 혜연에 대한 질투심과 감사함을 동시에 느꼈다고 말하며, 복잡한 감정을 표현함."
이나연,근데 데이트가 너무 설лект다.,None,positive,emotion_polarity,데이트에 대한 긍정적인 감정(설렘)을 표현함.
이나연,"롯데월드 그룹은 다 불 꺼져 있었어? 응, 다 불 꺼져 있었어. 놀이기구 탔어? 놀이기구 탔어. 다 꺼져 있었어. 되게 내 로망이다, 그 야간...",None,positive,observation,롯데월드 야간 풍경에 대한 로망을 드러냄.
남희두,"잠시만요, 마음 놓고 같이 재밌는 시간 보내고 하긴 했는데, 나영이랑 했던 것들이니까, 퉁 저도 모르게 나연이가 생각나던데요.",이나연,negative,attention,남희두는 이나연과 함께 했던 즐거운 시간들이 떠올라 힘들어한다.
남희두,라연이는 그걸 제가 들고 탔었어요.,이나연,neutral,attention,이나연이 과거에 함께 탔던 경험을 언급하며 관심을 표현함.
남희두,이렇게 공중에서 뛰어서 거의 놀이기구 타듯이 엄청 재밌어 했었어요.,None,positive,observation,과거의 즐거웠던 경험을 회상하며 긍정적인 감정을 표현함.
남희두,솔직히 계속 낫긴 했어요.,None,positive,general,상대방의 상태가 나아지고 있음을 인지하고 표현하는 발언
남희두,스케이트 탔던 기억 어쩔 수 없는 것 같아요. 이거.,None,None,attention,스케이트를 탔던 과거의 기억에 대한 언급
남희두,그냥 여자랑 스케이트 단도를 좋다는 게 처음이에요.,None,positive,feeling,스케이트 데이트에 대한 긍정적인 첫인상을 표현함
이나연,아멘.,,neutral,None,"종교적인 표현으로, 특별한 감정이나 의도를 드러내지 않음."
이나연,어? 뭐야? 수시 뭐예요?,,neutral,question,수시가 무엇인지 묻는 질문
남희두,왜? 여기가 뜨거운 물이고 여기가 차가운 곳이야.,,neutral,observation,온도 차이를 설명하는 중립적인 발언
남희두,"아직 적응을 해야 될 것 같아요. 사람들 다 있었어, 가지고 거기서 또 제가 반기면 바로 걸리지 않을까요?",None,negative,불안,"새로운 환경에 적응해야 하는 것에 대한 불안감을 표현하며, 다른 사람들의 시선을 의식하고 있다."
남희두,원우 드세요. 원우 드세요.,None,Neutral,Offering,음식을 권유하는 발언
남희두,"태희님이 잘 챙겨주시던데, 기다리시던데요?",None,neutral,observation,태희가 잘 챙겨주고 기다린다는 사실을 언급하며 상대방의 반응을 살피고 있다.
남희두,어떤 정도는 있는 것 같아요.,None,neutral,ambiguous,화자는 감정을 명확히 드러내지 않고 '어떤 정도'라고 표현하여 모호하게 답변함.
이나연,약간 오해하기 좋은 그런 뭔가 포인트들이 하필 희두씨 있을 때 보이는 것 같아요.,남희두,negative,attention,남희두에 대한 오해를 언급하며 부정적인 감정을 드러냄.
이나연,그럴 수도 있죠.,None,neutral,statement,상대방의 의견에 동의하거나 수용하는 발언.
이나연,일로 와 근데 왜 쓰시 갑자기? 사와 장 볼 때 사와봐요.,남희두,neutral,relationship,"남희두에게 다가가 말을 건네며, 사와를 사다 달라고 부탁하고 있다."
이나연,"저 잔 없는데? 잠깐만 아, 내가 갖고 올게 있어요? 네.",None,neutral,statement,자신의 잔이 없음을 인지하고 가져오겠다고 말함.
이나연,아 한 병 더?,None,neutral,social,술을 더 마실지 묻는 발언.
이나연,근데 표정을 잘 못 숨기고 있어요.,None,neutral,observation,자신의 표정 관리가 어렵다는 점을 언급함.
이나연,나도 방금 들어왔거든.,,neutral,statement,방금 들어왔음을 알리는 발언
