speaker,text,target,sentiment,category,summary
정현규,성함이 어떻게 되세요 하고 웃었어요 지금 안 알려줄래요 수고하세요 저 둘이 커플이 아니라면 나는 앞으로 사람들을 못 믿을 것 같아 진짜 세상을 살기 힘들 정도로 사람을 못 믿을 것 같아. 저 정도로 어떻게 하냐고 아닌데. 맞잖아.,,negative,갈등/불신,"정현규는 다른 출연자 커플에 대한 강한 확신이 흔들릴 경우, 사람에 대한 불신이 심화될 것 같다고 말하며 불안감을 드러냄."
성해은,맞잖아. 안 알려주세요 이러면.,,neutral,statement,상대방의 말에 대한 맞다는 반응.
이지연,둘이 사귈 때도 저렇게 툭툭거리면서 했을 거야.,정규민,negative,speculation,과거 연애 방식에 대한 추측성 발언
정현규,"형, 내가 봤을 때 제작진들도 처음부터 티가 많이 나니까 그냥 공개를 하고 가자고 생각하는 거야.",,중립,상황판단,제작진의 의도에 대한 추측을 드러내는 발언
이지연,아마 1회 마지막 끝날 때 저 둘 공개할 거예요.,,neutral,prediction,다음 회차에 대한 예측 발언
박원빈,지수는 제가 가장 사랑했던 사람입니다. 갇혀 문장이 있거든요? 응.,김지수,negative,attention,"화자는 김지수를 가장 사랑했던 사람이라고 언급하며, 과거 연애에 대한 감정을 드러내고 있다."
박원빈,"뭔가... 그게 진짜인 거 아니까 그 마음이 너무 느껴지기도 했고, 그리고 또 진짜 끝 사랑했던 과거 형이니까 그런 마음이요. 중요한 연애 중에 가장 행복했고 고마웠던 연애라, 감히 말할 수 있어요. 원빈이가 이제 주기만 하는 사랑보다는 넘치게 아휴 넘치게 받는 사랑을 했으면 좋겠습니다.",박원빈,positive,자기 위로 및 다짐,"과거 연애에 대한 긍정적 회상과 앞으로 받을 사랑에 대한 기대감을 표현하며, 스스로에게 더 나은 사랑을 받기를 바라는 마음을 드러냄."
정현규,어우...,,neutral,reaction,감탄사. 특별한 감정이나 대상이 드러나지 않음
남희두,확대. 웃긴 사람들이네요.,,neutral,general,남희두가 출연자들에 대해 언급함
남희두,X편지 읽는 지 얼마 됐다고 벌써 새로운 시작이야 시청해주셔서 감사합니다. 아까 울고 불고 웃기지 않고! 뭐 하는 거야?,남희두,negative,불만,자신의 감정 변화에 대한 불만과 자조적인 감정을 드러냄.
박원빈,우리 시즌 1때랑 시즌 1때 우리 반응이랑 똑같은 반응이야 지금. 화법이 되게 재밌어.,,positive,opinion,"시즌 1 출연자들의 반응과 현재 출연자들의 반응이 유사하며, 화법이 재미있다는 감상평을 표현함."
정현규,말하는 게 너무... 이제 부터 나긋나긋 얘기해야지.,정현규,neutral,self_reflection,말투를 부드럽게 바꿔야겠다고 다짐하는 발언
정현규,어깨판이네요.,,neutral,observation,정현규가 어깨판에 대해 언급함.
정현규,아 진짜 웃기네.,,positive,general,웃긴 상황에 대한 긍정적 반응
박원빈,난 좀 슬퍼 진짜?,박원빈,negative,emotion_polarity,박원빈이 슬픔을 표현하는 발언
박원빈,왜 자꾸 슬프지?,박원빈,negative,emotion_self,화자는 자신의 슬픔에 대해 자문하고 있습니다.
성해은,못 잊어서 아니 내가 못 잊어서 슬픈 게 아니라 시청해주셔서 감사합니다.,성해은,negative,emotion_polarity,화자는 '못 잊어서'라는 표현을 사용하여 슬픔을 간접적으로 드러내고 있다.
이지연,"걔가 약간 힘들까 봐 왜냐면 이 사이에 아이가 껴있기 때문이지 음음 맹기씨 민기 씨겠다, 진짜 적응 그래서 이 앞에 민기 씨의 피곤한 모습이 어?",김민규,negative,mention_other,"이지연이 김민규에 대해 언급하며, 그가 힘들어 보이고 피곤해 보이는 모습에 대해 이야기하고 있다."
이지연,아냐 아냐 이거 교사 편집이에요.,,neutral,statement,이지연은 현재 상황이 교사 편집이라고 주장하고 있다.
정현규,놀래라 정말 놀래라 정말 놀래라 정말로 깜짝 놀랐잖아!,,negative,emotion,놀람
이지연,아니 왜 이래! 야 환승이는 원데이 투데이 하니? 진짜?,,negative,분노,"이지연이 '환승'이라는 상황에 대해 분노를 표출하며, 빈도가 잦은 것에 대한 불만을 드러냄."
성해은,나 너무 놀랐어.,,negative,emotion_expression,화자가 놀란 감정을 표현함
박원빈,흫! 안녕. 하핳 오!,,neutral,greeting,인사말
박원빈,어머!,,neutral,reaction,감탄사
박원빈,우와!,,positive,reaction,감탄사. 긍정적인 반응을 나타냄.
성해은,어머!,,neutral,reaction,감탄사. 특별한 감정이나 대상이 드러나지 않음
성해은,아 태희씨 아닌 건 맞았는데 잘못 짚었나봐! 잠깐만 교차 아니지?,,negative,uncertainty,다른 사람의 추측이 빗나갔음을 인지하고 자신의 추측에 대한 불확실성을 표현하며 혼란스러워함.
이지연,우와!,,positive,reaction,감탄사. 긍정적인 감정 표현으로 판단됨.
성해은,아 짜증나!,성해은,negative,emotion_expression,성해은이 짜증을 내는 감정을 직접적으로 표현함.
성해은,"미쳤나 봐. 미친 거 아니야? 하차 어쩌죠? 두 사람이 학생이니까, 아니, 하차는 내가 알아서 할게요.",성해은,negative,anxiety,하차에 대한 불안감을 드러내는 발언
이지연,"하차는 어차피 해야 되는 건데, 아, 이래서 내가 되게 안 좋아요.",이지연,negative,self,이지연은 하차해야 하는 상황에 대해 부정적인 감정을 드러내고 있다.
성해은,"잠깐만, 이게 아, 두 분이 학생이야.",,neutral,statement,상대방의 직업에 대한 정보 확인을 위해 질문하는 발언
성해은,민기씨가 아니라고요? T? 왜 여기서 태희가?,김태이,negative,confusion,누군가가 예상치 못한 상황에 나타난 것에 대한 당황스러움과 혼란스러움을 표현함.
성해은,왜?,,neutral,question,상대방에게 이유를 묻는 질문
정현규,왜 태희인데? 왜 여기서 태희 씨가 나와?,김태이,negative,attention,정현규가 '태희'라는 이름이 언급된 것에 대해 의아함과 불쾌감을 드러냄.
정현규,"제발, 아니라고 해줘. 제발, 거짓말이라고 해줘. 제발, 아, 진짜? 여기서 왜?",,negative,emotion,"정현규가 무언가 예상치 못한 상황에 충격을 받고 부정적인 감정을 강하게 드러내며, 현실을 부정하고 싶어하는 발언을 함."
성해은,말이 안 되는데?,,negative,불만,상황에 대한 불만을 표현하는 발언
성해은,"지현 씨, 테이 씨한테 계속 문자 안 보냈어요.",김지수,neutral,statement,김지수가 김태이에게 문자를 보냈는지 확인하는 발언
정현규,"나한테 얘기하면 안 되는 거야? 나 한 번도 못 맞췄어. 나 모르는데 왜 나한테 그걸 물어봐? 와, 이거는 좀 충격적이네.",정현규,negative,emotion_polarity,정현규는 자신이 질문을 받지 못하고 추측에 실패한 것에 대해 충격과 서운함을 표현하고 있다.
정현규,그러면 저 이제 어떡해요? 형 죄송하다고 그러죠. 뭐 죄송하다고 그러죠.,,negative,갈등,"정현규가 누군가에게 사과해야 할 상황에 놓여 어쩔 줄 몰라하며, 상대방에게 어떻게 사과해야 할지 고민하고 있다."
이지연,"뭐 그럼, 아니면 차라리 저를 모자이크를 아니면 차에서 저를 없애주세요. 불러 처리, 불러 처리, 불러 처리를 해주시고, 쌈디는 하차하고 전기석으로 나오세요.",,negative,entertainment,"이지연이 편집에 대한 불만을 토로하며 자신을 없애달라고 요청하고, 쌈디 하차 및 전기석 출연을 요구함."
박원빈,"그럼 되겠다, 그럼 되겠다.",,neutral,none,상황에 대한 동의 또는 수용을 표현하는 발언
정현규,"그럼 다음 주부터는 정기석으로 나와주세요. 이제 기석 씨로 할게요, 우리도.",,neutral,relationship,"정현규가 상대방에게 다음 주부터 정기석이라는 이름으로 불러달라고 요청하며, 호칭을 '기석 씨'로 변경하자고 제안함."
정현규,어..,,neutral,none,"정현규의 단독 발화로, 특별한 감정이나 내용이 드러나지 않음"
박원빈,가자!,,neutral,relationship,"""가자!""라는 발언은 특정한 감정이나 대상에 대한 언급 없이 단순히 이동을 제안하는 것으로 보입니다."
정현규,너무 시려워.,정현규,negative,self,추위를 느끼는 부정적 감정 표현
박원빈,다음 영상에서 만나요! 감사합니다. 이번엔 또 뭐야?,,neutral,general,마무리 인사와 함께 다음에 나올 내용에 대한 궁금증을 표현하는 발언
박원빈,화장실에 화장실에 화장실에 다음 영상에서 만나요.,,neutral,farewell,The speaker is saying goodbye and announcing the next video.
박원빈,이번엔 또 뭐야?,,neutral,none,상황에 대한 의문
정현규,물이나 마셔야겠다.,,neutral,일상,정현규가 물을 마시겠다는 혼잣말을 함.
박원빈,"으음, 아!",,neutral,reaction,"감탄사 또는 긍정적인 반응을 나타내는 발화로, 특정 대상이나 감정을 직접적으로 드러내지 않음"
박나언,저 민기 씨 읽는 것도 한 번 들어보고 싶다.,김민규,neutral,statement,박나언이 김민규가 쓴 것을 듣고 싶어한다고 말함
박원빈,나도!,,positive,emotion_expression,화자가 긍정적인 감정을 표현함
성해은,나겠다고 내 목소리?,,neutral,none,"성해은의 발언으로, 특정 대상이나 감정을 드러내지 않는 단순한 질문으로 판단됨."
성해은,근데 목소리가 너무 좋아.,,positive,emotion_polarity,목소리가 좋다는 긍정적 감정 표현
성해은,일단 제가 읽어볼게요.,성해은,neutral,statement,성해은이 대본을 읽어보겠다는 발언.
박원빈,"뭘까? 표정이 궁금하다, 보고. 보면 돼? 보면 돼!",,neutral,observation,상대방의 표정을 보고 싶어하는 발언
성해은,왜?,,neutral,question,상대방에게 이유를 묻는 질문
성해은,새로운 입주자. 집 앞으로 도착.,,neutral,event,새로운 입주자의 도착을 알리는 중립적인 정보 전달
박원빈,어? 지금요?,,neutral,none,상대방의 질문에 대한 단순 응답
남희두,다음 영상에서 만나요 진짜?,,neutral,question,상대방에게 다음 영상에서 다시 만나는지 여부를 묻는 질문
정현규,한번 봐볼래요?,,neutral,invitation,상대방에게 무언가를 보여주거나 함께 보기를 제안하는 발언
남희두,여자 분위기겠죠?,,neutral,speculation,남희두가 특정 '여자'에 대한 분위기를 추측하는 발언
박나언,그때는 좀 놀랐죠 아..,,neutral,none,과거에 놀랐던 경험을 회상하는 발언
박나언,모나보다 안녕하세요.,,neutral,greeting,박나언이 모나보다 채널에 인사하는 내용입니다.
박원빈,안녕하세요 많이 오세요 안녕하세요.,,neutral,greeting,참가자들을 환영하는 인사말.
박원빈,"시청해주셔서 감사합니다. 안녕하십니까. 안녕하세요, 친구. 안녕하세요.",,neutral,greeting,시청자 및 친구들에게 인사하는 발언
남희두,"어우, 기분이 맛있겠다. 올라갈까요?",,neutral,uncategorized,"남희두가 '기분이 맛있겠다'라고 표현하며, 함께 위로 올라갈지 묻는 발언."
남희두,어떻게 내려오셨어요? 감사합니다.,,positive,gratitude,"남희두가 누군가에게 고마움을 표현하는 발언으로, 긍정적인 감정을 드러냄."
박원빈,와 대박 X 너무 소름돋아 잠깐만 아 소름돋아 키 크신 분 없었네. 70대 나타났다.,정규민,negative,attention,박원빈이 'X'에 대해 소름돋는다고 언급하며 부정적인 감정을 드러냄. 키 큰 사람이 없었다는 발언과 함께 70대가 나타났다는 언급을 함.
남희두,크시지 않으세요? 엄청 커요. 저는 제일 커요. 저는 여기 제일 커요. 진짜요?,남희두,neutral,self_description,남희두가 자신의 크기가 크다고 강조하며 자부심을 드러내는 발언
성해은,제일은 아니고 여기가 제일 크긴 한데.,,neutral,statement,장소의 크기에 대한 정보 전달
남희두,안녕하십니까?,,neutral,greeting,남희두가 인사하는 발화
박나언,예쁘시다. 미인이신데? 왜 첫 만남 골랐어요?,,positive,compliment,"상대방의 외모에 대한 칭찬을 하며 호감을 표현하고, 첫 만남 선택 이유를 궁금해함."
남희두,저요?,남희두,neutral,self_reference,자신을 지칭하는 발언
남희두,첫 만남인데? 나랑도 첫 만남이잖아요.,,neutral,statement,남희두가 첫 만남임을 언급하며 상대방과의 첫 만남임을 확인하는 발언.
박나언,아 그래서?,,neutral,response,"상대방의 말에 대한 단순한 반응으로, 특별한 감정이나 의도를 드러내지 않음"
남희두,그래서 한편으로는 첫 만남? 내가 다 덮어줄게 이러다가 근데 한편으로 걱정도 됐어요. 내가 그 둘이 얼마나 어떤 사랑을 했는지 모르니까 감사합니다. 내가 끼어들 수 있나?,정규민,negative,uncertainty,"남희두는 다른 두 사람(정규민, 성해은)의 관계에 자신이 끼어들 수 있을지 걱정하며 불확실한 감정을 드러냄."
남희두,제가 말도 많이 걸어보려고 했는데 쉽게 곁을 안 내주더라고요.,,negative,불만,남희두가 상대방이 쉽게 곁을 내주지 않아 다가가기 어려웠다고 토로하는 발언
남희두,선을 그어? 잘라버려야지?,,negative,갈등,남희두가 무언가를 단호하게 끊어내려는 감정을 표현하는 발언.
남희두,어제 밤에도 기분 안 좋고 저도 모른 척하고 본 척도 안 하고 아는 척도 안 하고 그래서 기분 안 좋았는데 데이트도 나가는 모습도 보고 뿡 섭외.,김지수,negative,갈등,"남희두는 어젯밤 김지수의 좋지 않은 기분과 모른 척하는 태도, 데이트하는 모습에 질투와 서운함을 느꼈다."
남희두,나 빼고 다 나갔구나 싶은 마음에 외롭고 공허하고 으으으 지금은 저 진짜 우울하기만 해요.,남희두,negative,emotion_expression,남희두는 다른 사람들이 모두 나가고 혼자 남겨진 상황에 외로움과 공허함을 느끼며 우울한 감정을 표현하고 있다.
박원빈,나 계속 혼자 있었고 감사합니다.,,positive,gratitude,혼자 있었던 상황에 대한 감사함을 표현함.
박원빈,왜 이렇게 늦게 왔어 이렇게.,,neutral,question,상대방에게 늦게 온 이유를 묻는 질문
박나언,춥다 밖에 그치? 휴지 없나?,,neutral,unclassified,날씨와 필요한 물건에 대한 언급
박원빈,영상편집 및 자료조사 김지경이 먹고 싶었어.,,neutral,unclassified,박원빈이 영상편집 및 자료조사 김지경이 먹고 싶었다고 발언함
박원빈,"네, 금방 다음 편에 계속 MBC 뉴스 김성현입니다.",,neutral,informative,뉴스 클로징 멘트
박나언,잘 지냈어?,,neutral,greeting,상대방의 안부를 묻는 일반적인 인사말
박원빈,어...,,neutral,none,"단순한 감탄사로, 특정 대상이나 감정을 드러내지 않음"
박나언,그리고 나이가 진짜 많이 먹었다.,박나언,neutral,self_description,박나언이 자신의 나이에 대해 언급함
남희두,"끝, 진짜 우리 21살에 만났는데 수고하셨습니다.",,neutral,farewell,남희두가 과거 만났던 시기를 언급하며 작별 인사를 건네는 발언.
박나언,촬영기자1호 2014년 1월에 21살 때거든요. 미팅에서 만났어요.,,neutral,event,박나언은 21살 때 미팅에서 촬영기자1호를 만났다고 언급함.
박나언,4대4였던 걸로 기억합니다.,,neutral,memory,인원수를 회상하는 발언
남희두,"스무 살 때 아무 연애에 아무랑도 연애 한 번 나누고, 아, 스물한 살 때는 이제 드디어 '연애 한 번 하자'고 과팅 처음 들어오는 거를 처음 나갔어요.",,neutral,experience,"화자는 스무 살 때 아무하고나 연애를 했고, 스물한 살 때 처음으로 과팅에 나갔던 경험을 이야기하고 있다."
박나언,파트너를 보통 정하잖아요. 소지품으로 했던 것 같아요. 좀 올드스쿨하지만 뭔가 하나가 그 친구 거 같은 거예요.,,neutral,event_description,과거 파트너 선정 방식에 대한 회상: 소지품을 이용한 올드스쿨 방식 언급
남희두,"제가 리베아 립밤을 했었거든요. 그걸 어떻게 근데 규윤이가 골라가지고 저 진짜 제발 제발 골라라 골라라 이렇게 하고 있었는데, 확실히 뭔가 느낌이 와서 뽑았어요.",정규민,positive,event_description,"남희두는 리베아 립밤을 누군가가 선택해주길 바랐고, 규윤이가 선택했을 때 기뻐했다."
박나언,"근데 면회를 정말 한 번도 안 빠지고, 매 주말만 왔던 것 같아요.",,neutral,memory,면회를 한 번도 안 빠지고 매 주말마다 왔던 과거 회상
남희두,"딱 1호선의 끝과 끝으로 주말에 출근하듯이 매일매일 왕복. 내 시간 금요일 밤에는 내 언니가 갈 생각에 잠을 못 잤어요. 그 이틀 데이트 한 걸로 또 일주일 버티고, 그 힘으로 매주 해주면서 면회실에서도 혼자 있고, 그냥 대화하고, 그냥 있기만 해도, 그냥 너무 좋은 거죠. 너무 높... 그 시간이 빨리 가기만을 일단 기다렸고, 헤어질 수 없으니까, 아, 아, 천천히.",박나언,positive,affection,"화자는 언니와의 데이트를 통해 힘을 얻고, 함께 있는 시간 자체를 매우 소중하게 생각하며 행복감을 느낀다고 말하고 있다."
박원빈,감사합니다. 이 시각 세계였습니다.,,neutral,closing,프로그램을 마무리하는 발언
박원빈,오! 얘가... 시청해주셔서 감사합니다.,,neutral,closing,시청자에게 감사 인사를 전하는 발언입니다.
박원빈,야! 야! 잠시만! 야!,,neutral,uncategorized,상대방의 주의를 끌기 위한 외침
박나언,"잠깐만, 군인 시절에 그 친구가 인터넷 편지 써줬던 것도 다 있고, 손편지도 다 했고, 진짜 많아요. 정말 많은데, 진짜 다 먹게 돼 응.",,positive,memory,군인 시절 친구에게 받았던 편지에 대한 추억을 회상하며 긍정적인 감정을 드러냄.
남희두,생각보다 예쁘다 그치?,,positive,칭찬,상대방의 외모에 대한 칭찬 발언
박나언,너무 이쁜데? 너무 잘 만들었네.,,positive,admiration,상대방의 외모나 솜씨에 대한 감탄을 표현하는 발언
남희두,"기념일이면 도시락 싸서 가고, 크리스마스 선물 싸서 가고, 촬영기자1호, 너무 고마웠죠.",,positive,gratitude,과거 누군가에게 고마움을 느꼈던 경험을 회상하며 긍정적인 감정을 표현함.
박나언,"처음에 사실 너무 보고 싶었는데, 매번 와주니까 너무 고맙고, 혜연이가 노력을 많이 했었던 것 같아요.",성해은,positive,gratitude,"박나언이 상대방(혜연)의 노력에 대해 고마움을 표현하고, 보고 싶었다는 감정을 드러냄."
남희두,되게 좋은 추억으로 남아있어요.,,positive,회상,좋은 추억으로 남아있다고 말하며 긍정적인 감정을 표현함.
박나언,혼자 계셔서 어떻게 그러니까요.,,neutral,none,상대방의 상황에 대한 질문
남희두,난 데이트 할 줄 알았어요.,,negative,attention,남희두는 데이트를 기대했지만 이루어지지 않은 것에 대한 아쉬움을 표현하고 있다.
남희두,"다녀올게요. 오늘 이따가 저녁에. 빨리 가요, 빨리. 완전 저녁에 엄청 재밌게 놀아요. 다음에 오세요. 안녕히 계세요.",,positive,farewell,"남희두가 긍정적인 어조로 작별 인사를 건네며, 저녁에 즐거운 시간을 보내자는 기대를 표현하고 있다."
박원빈,밥 먹었어요?,,neutral,일상 대화,식사 여부를 묻는 질문
박나언,감사합니다. 아침 먹었어?,,positive,initiative,"상대방에게 아침 식사 여부를 물으며 관심을 표현하고, 대화를 시작하려는 의지를 드러냄."
박원빈,나 너무 배고파 가서 점심 먹어볼게. 시청해주셔서 감사합니다. 감사합니다. MBC 뉴스 김성현입니다.,,neutral,일상,배고픔을 느껴 점심을 먹으러 가겠다는 내용과 시청에 대한 감사 인사.
남희두,"유민이가 저 혼자 있는 것도 봤을 때, 근데 이거 진짜 다 그냥 우연히 이렇게 된 거잖아요.",김유민,neutral,statement,남희두는 김유민과의 상황이 우연이라고 언급하며 상황을 설명하고 있다.
남희두,어우..,,neutral,response,특별한 감정이나 의도를 드러내지 않는 단순 반응
남희두,감사합니다.,,positive,social,감사 인사를 통해 긍정적인 감정을 표현함.
남희두,"그냥 나연님, 제가 봤을 때는 김현희가 마음에 든다고 하시고, 데이트도 따가는 모습도 보고, 어우 근데 그런 거..",이나연,negative,갈등,남희두는 이나연이 김현희에게 호감을 느끼고 데이트를 신청하는 모습에 불편함을 드러내고 있다.
남희두,"일단 너무 무섭게 됐어요. 나는 오빠랑, 나는 그랬어. 소스 4병째?",,negative,emotion_polarity,남희두는 현재 상황이 무섭다고 느끼며 불안감을 표현하고 있다.
성해은,"와, 술 잘 드신다.",,neutral,observation,술을 마시는 모습에 대한 관찰 발언
정현규,"존배 파이팅 좋아, 나랑 쌈대형이랑 먹을 때도 내 병은 안 가는데? 되게 지금 분위기 좋나 보다 잘 넘어가나 보다.",,positive,observation,"정현규는 현재 분위기가 좋게 흘러가는 것에 대해 긍정적으로 평가하며, 특정 인물과의 식사 상황을 언급하며 자신의 행동에 대한 의문을 제기하고 있다."
이지연,"이거는 진짜 분위기 좋은 건데, 되게 좋은 거야 이 정도면, 대화가 너무 잘 맞고, 술 이겨 부딪히고 하는 게 술자리에서 잘 맞으면 끝이거든.",,positive,relationship,"분위기가 좋고 대화가 잘 통하는 것이 술자리에서 잘 맞는 것이면 끝이라는 발언으로, 긍정적인 감정을 표현하고 있다."
남희두,"와, 내병. 내가 동생이니까 더 어때? 좋아?",,positive,initiative,"상대방에게 본인에 대한 호감을 묻는 발언으로, 긍정적인 감정을 표현하며 관계 형성을 시도하고 있다."
박나언,솔직히 상관없는데 근데 네가 좋아하는 거 같아서 좋아.,,positive,emotion_expression,상대방이 좋아하는 모습에 대한 긍정적 감정 표현
박나언,나 안 좋아하는데? 안 좋아해?,,negative,emotion_polarity,상대방이 자신을 좋아하지 않는다고 느끼는 것에 대한 부정적인 감정을 표현함.
남희두,나 싫은데? 아 그래? 안 해? 나 싫은데? 나 연하 좋아하는데?,,negative,갈등,"남희두가 상대방의 행동에 대해 불만을 표현하며, 자신의 선호도를 언급하여 감정적 거리를 두려는 발언을 함."
박나언,"아 그래? 그런 거 있잖아, 동생이라고 생각 하게 되는 순간 귀여워져 버리는 게 있어.",,positive,general,상대방을 동생처럼 생각하게 될 때 귀여워 보이는 순간이 있다는 발언
남희두,"착각하지마, 진짜 내가 귀여운 거지. 나이 때문에 귀여운 건 아니야!",남희두,positive,self_esteem,자신의 귀여움이 나이 때문이 아니라 본질적인 매력 때문이라고 주장하며 자신감을 드러냄.
이지연,"어허 으아, 그냥 펀치라인을 그냥 래퍼야 래퍼, 그냥 이야.",,neutral,uncategorized,화자는 자신의 표현이 래퍼의 펀치라인 같다고 비유하며 감탄하고 있다.
정현규,저런 식의 러블리한 느낌의 분을 정말 거의 오랜만에 봐서 화면에서 지금 보여지는 모습도 너무 러브리해서 전 너무 좋을 것 같은데?,,positive,appearance_comment,정현규가 상대방의 사랑스러운 모습에 호감을 표현하며 긍정적인 감정을 드러냄.
이지연,"되게 사랑스럽지, 너무 좋을 것 같은데?",,positive,emotion_polarity,상대방에 대한 호감을 표현하는 발언
정현규,진짜 약간 나연 씨 새로운 매력이야.,이나연,positive,호감,이나연의 새로운 매력에 대한 긍정적 언급
박원빈,규인 씨는 너무 좋아하는 것 같아요.,정규민,positive,attention,정규민에 대한 호감을 드러냄
박원빈,내가 귀여운 거지.,박원빈,positive,self_description,자신이 귀엽다고 생각하는 긍정적 발언
남희두,나이 때문에 귀여운 건 아니야?,남희두,neutral,question,자신의 귀여움이 나이 때문인지에 대한 질문
남희두,오빠 착각하지마.,,negative,갈등,상대방의 오해를 부정하며 감정적 대립을 표현하는 발화
남희두,알겠지?,,neutral,confirmation,상대방의 이해를 확인하는 발화
남희두,"나이 때문이 아니라 나야, 나.",남희두,negative,self-blame,자신에게 문제가 있다고 자책하는 발언
박나언,"알겠어, 알겠어. 너가 귀여운 거구나?",박나언,positive,general,자신에 대한 귀엽다는 칭찬에 대한 긍정적 반응
남희두,"어, 내가 귀여운 거야. 촬영기자1호, 박진주 기상캐스터 근데 나 오빠 진짜 좋아. 여러모로 여러모로 좋아.",,positive,attraction,"남희두가 누군가에게 호감을 표현하며, '오빠 진짜 좋아'라고 직접적으로 언급함. 긍정적인 감정 표현이 두드러짐."
박나언,"응, 나도 좋아. 뭔가 오늘 하루 종일 있다 보니까 더 좋은 거 같아.",,positive,emotion_expression,"박나언이 긍정적인 감정을 표현하며, 함께 시간을 보내는 것에 대한 만족감을 드러냄."
남희두,오빠는 약간 사람을 편하게 해주는 뭔가가 있어.,남희두,positive,compliment,남희두가 상대방에게 편안함을 주는 사람이라는 칭찬
남희두,"내가 오늘 하루 종일 행복하다고 하지 않았어? 맞아. 진심이야. 너무 행복했어, 나는.",남희두,positive,self_mention,"남희두는 자신의 행복한 감정을 강조하며, 진심으로 행복했다고 표현함."
박나언,그게 되게 신기했어. 그치?,,positive,general,상대방의 행동에 대한 긍정적 반응을 표현하며 공감을 구하는 발언
남희두,"최근 몇 달간 가장 행복했어. 올해 중에 제일 행복했어, 나는. 진짜? 응.",,positive,general,"남희두는 최근 몇 달간 가장 행복했다고 말하며, 올해 중에 제일 행복했다고 덧붙임."
박나언,감동이다.,,positive,general,감동을 느낌
남희두,예쁘지?,,positive,admiration,상대방의 외모에 대한 긍정적 감탄을 표현하는 발언
남희두,취한 김에 그럼 나으리에 대한 호감도가 얼마나 올라갔나?,남희두,positive,emotion_polarity,자신에 대한 호감도가 얼마나 올라갔는지 질문하며 긍정적인 감정을 드러냄.
박나언,기하급수적으로 상승했지.,,neutral,unclassified,특정 대상이나 감정을 드러내지 않는 일반적인 진술
남희두,나도. 처음 했는데?,,neutral,unclassified,"남희두의 발언으로, 특정 맥락이나 대상 없이 단순히 처음 경험에 대한 반응을 나타냅니다."
박나언,반갑습니다. 안녕하세요?,,neutral,greeting,첫인사를 건네는 발화
박원빈,걸을까요?,,neutral,initiative,박원빈이 상대방에게 함께 걷기를 제안하며 대화를 주도하려는 발언.
